Numeric Value,Category Name,Sub
168,Свинина тушеная консерв.,3_3_1_2
169,Язык говяжий в желе,3_3_1_5
170,Курица в собственном соку консерв.,3_3_2_1
171,Азу,3_4_1_6
172,Антрекот,3_4_1_3
173,Бефстроганов,3_4_1_7
174,Биточки,3_4_1_22
175,Бифштекс,3_4_1_12
176,Бифштекс рубленый,3_4_1_13
177,Бифштекс с яйцом,3_4_1_14
178,Бургер,3_4_1_23
179,Говядина тушеная,3_4_1_4
180,Говядина отварная,3_4_1_5
181,Гуляш говяжий,3_4_1_10
182,Жаркое по-домашнем,3_4_1_11
183,Котлеты рубленые,3_4_1_18
184,Люля-кебаб из говядины,3_4_1_19
185,Окрошка мясная,3_4_1_26
186,Поджарка говяжья,3_4_1_8
187,Рагу из говядины,3_4_1_9
188,Ромштекс,3_4_1_15
189,Рулет мясной с луком и яйцом,3_4_1_24
190,Солянка сборная мясная,3_4_1_25
191,Стейк из говядины,3_4_1_2
192,Суп на густом мясном бульоне,3_4_1_29
193,Суп с фрикадельками,3_4_1_27
194,Суп Фо Бо,3_4_1_28
195,Тефтели,3_4_1_21
196,Фарш из говядины,3_4_1_1
197,Фрикадельки,3_4_1_20
198,Шницель отбивной,3_4_1_17
199,Шницель говяжий рубленый,3_4_1_16
200,Гуляш из свинины,3_4_2_7
201,Котлеты свиные отбивные,3_4_2_8
202,Котлеты свиные рубленые,3_4_2_9
203,Купаты и колбаски для жарки,3_4_2_12
204,Свинина жареная,3_4_2_3
205,Свинина жареная на гриле или углях,3_4_2_4
206,Свинина тушеная,3_4_2_6
207,Фарш домашний,3_4_2_2
208,Фарш из свинины,3_4_2_1
209,Шницель свиной отбивной,3_4_2_10
210,Шницель свиной рубленый,3_4_2_11
211,Эскалоп свиной,3_4_2_5
212,Баранина жареная,3_4_3_1
213,Котлеты из баранины,3_4_3_2
214,Суп с бараниной,3_4_3_3
215,Оладьи из говяжьей печени,3_4_4_4
216,Паштет из говяжьей печени,3_4_4_3
217,Печень говяжья жареная,3_4_4_1
218,Печень говяжья тушенная,3_4_4_2
219,Сердце говяжье тушенное,3_4_4_5
220,Язык говяжий отварной,3_4_4_6
221,Кролик жареный,3_4_5_1
222,Рагу из кролика,3_4_5_3
223,Мясо кролика,3_4_5_2
224,Салат мясной,3_4_6_3
225,Салат с колбасой или ветчиной,3_4_6_4
226,Холодец, мясо заливное,3_4_6_2
227,Шашлык ассорти,3_4_6_1
228,Биточки куриные,3_5_1_14
229,Биточки куриные паровые,3_5_1_15
230,Бульон куриный,3_5_1_21
231,Бульон куриный с яйцом,3_5_1_22
232,Котлеты куриные,3_5_1_10
233,Котлеты по Киевски,3_5_1_11
234,Колбаски и купаты для жарки из мяса птицы,3_5_1_20
235,Куриные окорочка кулинарно обработанные,3_5_1_16
236,Курица отварная,3_5_1_6
237,Курица жареная на гриле или углях,3_5_1_3
238,Курица жареная,3_5_1_2
239,Курица с сыром,3_5_1_17
240,Курица тушенная с овощами,3_5_1_5
241,Мясо птицы с рисом,3_5_1_18
242,Печень и сердце куриные жареные,3_5_1_19
243,Рагу из кур,3_5_1_7
244,Рулет из мяса птицы,3_5_1_9
245,Салат с курицей,3_5_1_24
246,Салат Цезарь с курицей,3_5_1_25
247,Суп куриный с макаронными изделиями,3_5_1_23
248,Фарш из мяса кур,3_5_1_1
249,Фрикадельки куриные,3_5_1_13
250,Цыплята жаренные табака,3_5_1_4
251,Чахохбили,3_5_1_8
252,Шницель куриный,3_5_1_12
253,Индейка жареная,3_5_2_1
254,Фарш из мяса индейки ,3_5_2_3
255,Котлеты  из индейки,3_5_2_2
256,Утка жареная,3_5_3_1
257,Котлеты из мяса птицы,3_5_4_3
258,Паштет из мяса или печени птицы,3_5_4_1
259,Филе птицы запеченное с овощами,3_5_4_2
260,Колбаса вареная ассорти,3_6_1_9
261,Колбаса Говяжья,3_6_1_7
262,Колбаса Докторская,3_6_1_1
263,Колбаса ливерная,3_6_1_8
264,Колбаса Любительская,3_6_1_5
265,Колбаса Молочная,3_6_1_2
266,Колбаса Русская,3_6_1_6
267,Колбаса Телячья,3_6_1_3
268,Колбаса Чайная,3_6_1_4
269,Пироги с мясом птицы ,3_6_10_5
270,Пельмени,3_6_10_1
